                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4361,                 3.2417,                 1.5374,                 1.3597,                 3.5335,                 1.4471,                0.01983,                 0.4331,                0.03817,                0.01799,                 1.4697,                 3.3407,                 1.4222,                 1.3281,                 3.6618,                 1.3478,             0.00011669,             0.00011669,             0.00011669
                      2,                 1.3874,                 2.8036,                 1.4175,                   1.27,                 3.0416,                 1.2978,                0.01911,                0.50894,                0.06973,                0.04595,                 1.3454,                  3.229,                 1.2494,                  1.223,                 3.5045,                 1.1846,             0.00020054,             0.00020054,             0.00020054
                      3,                 1.3408,                 2.3905,                 1.3592,                 1.1937,                 2.6087,                 1.2121,                0.02129,                0.49533,                0.07925,                0.05275,                  1.393,                 3.1401,                 1.2923,                 1.2175,                 3.3934,                 1.1777,             0.00023158,             0.00023158,             0.00023158
                      4,                 1.3084,                 2.0717,                 1.3147,                 1.2023,                 2.2663,                 1.1697,                 0.0209,                0.49496,                0.08134,                0.05256,                 1.2924,                  3.061,                 1.2662,                  1.126,                 3.3091,                 1.1214,             0.00020981,             0.00020981,             0.00020981
                      5,                 1.2244,                 1.7697,                 1.2935,                 1.1297,                 2.1113,                 1.1664,                0.02782,                0.53165,                0.10914,                 0.0686,                 1.2304,                 3.0268,                 1.2607,                 1.0804,                    3.3,                 1.1466,             0.00013523,             0.00013523,             0.00013523
                      1,                 1.4265,                 3.0399,                 1.4913,                  1.331,                 3.2835,                 1.3837,                0.01684,                0.47117,                0.06994,                0.04185,                 1.3342,                 3.2257,                 1.3188,                 1.1736,                 3.6219,                  1.286,             0.00023338,             0.00023338,             0.00023338
                      2,                 1.3709,                 2.3288,                 1.3673,                 1.2505,                 2.5383,                 1.2259,                0.03414,                0.64758,                0.11857,                0.07124,                 1.3392,                 2.9314,                 1.2687,                 1.1925,                 3.3284,                 1.1862,             0.00046748,             0.00046748,             0.00046748
                      3,                  1.375,                  1.814,                 1.3471,                 1.2632,                 2.1803,                 1.2117,                0.02925,                0.62881,                0.12639,                0.07447,                 1.3079,                  2.565,                 1.3133,                 1.1412,                 3.3039,                 1.1536,             0.00068507,             0.00068507,             0.00068507
                      4,                 1.3216,                 1.4433,                 1.3218,                 1.2445,                 2.0707,                 1.2095,                0.04381,                 0.6965,                0.19718,                0.10671,                 1.3918,                 2.3598,                 1.3867,                 1.1961,                 3.2563,                 1.1901,             0.00088616,             0.00088616,             0.00088616
                      5,                 1.3123,                 1.3178,                 1.3108,                 1.2616,                 1.9188,                 1.2104,                0.14804,                0.80485,                 0.3355,                0.19391,                 1.4039,                 1.9538,                 1.4073,                 1.2449,                 2.8631,                 1.2317,              0.0010707,              0.0010707,              0.0010707
                      6,                 1.2722,                 1.2317,                 1.2889,                 1.2596,                 1.8181,                 1.2085,                0.61085,                0.22248,                0.40784,                0.22539,                 1.4054,                 1.6936,                 1.4275,                 1.2908,                 2.7007,                 1.2573,              0.0012388,              0.0012388,              0.0012388
                      7,                 1.3068,                 1.1726,                 1.2804,                 1.3094,                 1.6936,                 1.1965,                0.45066,                0.29787,                0.31805,                0.19698,                 1.4285,                 1.7443,                 1.4884,                 1.3372,                 2.4663,                 1.2996,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.2655,                 1.1966,                  1.278,                 1.2662,                 1.7247,                 1.1958,                0.51456,                0.39123,                 0.4273,                 0.2431,                 1.3417,                 1.4247,                  1.406,                 1.2757,                  2.219,                 1.2619,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.2641,                 1.1674,                 1.2867,                 1.2736,                 1.7161,                 1.2092,                0.48207,                0.46456,                0.45488,                0.26941,                 1.3391,                 1.3218,                 1.3626,                 1.3212,                 2.0657,                 1.2852,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.2477,                 1.1363,                 1.2741,                 1.2607,                 1.6487,                 1.2078,                 0.4866,                0.49168,                0.49577,                0.28843,                 1.3889,                 1.2666,                 1.3992,                  1.327,                 1.8994,                  1.311,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.2257,                 1.1064,                 1.2463,                 1.2743,                 1.5894,                 1.1945,                0.48351,                0.48607,                0.47908,                0.29016,                 1.3158,                 1.2791,                 1.3592,                 1.2738,                 1.7932,                  1.292,              0.0011719,              0.0011719,              0.0011719
                     12,                  1.192,                 1.1007,                 1.2437,                 1.2367,                 1.5933,                 1.1874,                0.48916,                0.59669,                0.54617,                0.32718,                 1.2355,                 1.1302,                 1.2844,                 1.2341,                 1.6811,                 1.2226,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.1965,                 1.0904,                 1.2512,                 1.2208,                 1.5454,                 1.1902,                0.47404,                0.58683,                0.53377,                0.32582,                 1.2426,                 1.1458,                 1.2757,                 1.2457,                 1.6991,                 1.2191,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.2029,                 1.0719,                 1.2506,                 1.2398,                 1.5077,                 1.1894,                0.55838,                0.61045,                0.59245,                0.35356,                 1.2293,                  1.073,                 1.2702,                 1.2441,                 1.5752,                 1.2134,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.1691,                 1.0565,                 1.2448,                 1.1953,                 1.4991,                 1.1857,                0.53224,                0.57732,                0.56307,                 0.3415,                 1.2022,                 1.1185,                 1.2507,                 1.2293,                 1.5771,                 1.2148,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.1544,                 1.0216,                 1.2197,                 1.1953,                 1.4449,                 1.1748,                0.52292,                0.56693,                0.57011,                0.34431,                 1.2356,                 1.0621,                  1.244,                 1.2417,                 1.6344,                  1.215,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.1417,                 1.0071,                  1.218,                 1.1917,                 1.4229,                 1.1751,                 0.5588,                0.57997,                0.57057,                0.34124,                 1.1921,                 1.0815,                  1.229,                 1.2043,                 1.6687,                 1.2052,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.1509,                 1.0152,                 1.2134,                 1.1978,                 1.4047,                 1.1654,                 0.5303,                 0.6145,                0.58145,                0.34799,                 1.1973,                 1.0335,                  1.238,                  1.187,                 1.5244,                 1.1942,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.1034,                0.98763,                 1.2024,                 1.1465,                 1.3758,                 1.1545,                0.61551,                0.58231,                0.59248,                0.36376,                 1.1789,                0.99369,                 1.2318,                 1.1868,                 1.4374,                 1.1897,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.1046,                 1.0076,                 1.2053,                 1.1704,                 1.3943,                 1.1618,                0.59384,                0.57194,                0.58391,                0.35429,                  1.224,                 1.0409,                 1.2588,                 1.2227,                  1.471,                 1.2216,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.1575,                 1.0785,                 1.2279,                 1.1955,                 1.5029,                 1.2003,                 0.5515,                0.59745,                0.58553,                0.35816,                 1.1975,                 1.0779,                 1.2431,                 1.2045,                 1.4442,                 1.1962,             0.00062179,             0.00062179,             0.00062179
                     22,                 1.1303,                 1.0727,                 1.2384,                 1.1594,                  1.501,                 1.2063,                0.53052,                0.58813,                0.56999,                0.35154,                  1.195,                 1.0451,                 1.2358,                 1.2064,                  1.437,                 1.1889,             0.00056678,             0.00056678,             0.00056678
                     23,                 1.1346,                 1.0078,                  1.239,                 1.1751,                 1.4399,                  1.204,                0.50999,                 0.6147,                0.59141,                0.36928,                 1.1881,                 1.0043,                 1.2239,                 1.2048,                 1.4235,                 1.1915,             0.00051177,             0.00051177,             0.00051177
                     24,                  1.098,                0.98939,                 1.2035,                 1.1273,                 1.3536,                 1.1767,                  0.559,                0.65102,                0.61564,                0.38548,                 1.1621,                0.98947,                  1.213,                  1.189,                 1.3509,                 1.1824,             0.00045676,             0.00045676,             0.00045676
                     25,                 1.0786,                0.97207,                 1.1974,                 1.1111,                 1.3569,                 1.1683,                0.60418,                0.64972,                0.63769,                0.39658,                 1.1539,                0.97977,                 1.2028,                 1.1792,                 1.3503,                 1.1659,             0.00040175,             0.00040175,             0.00040175
                     26,                 1.0756,                0.96793,                 1.1911,                 1.1068,                 1.3535,                 1.1662,                0.61318,                0.63243,                 0.6441,                0.39441,                 1.1551,                0.97939,                    1.2,                 1.1898,                  1.342,                 1.1663,             0.00034674,             0.00034674,             0.00034674
                     27,                 1.0555,                0.94693,                 1.1757,                 1.0938,                 1.3179,                 1.1504,                0.59001,                 0.6333,                0.63106,                0.39833,                 1.1465,                0.97784,                 1.1957,                 1.1422,                 1.3134,                 1.1408,             0.00029172,             0.00029172,             0.00029172
                     28,                 1.0393,                0.97899,                 1.1907,                 1.0839,                 1.3671,                 1.1716,                0.58595,                0.60954,                0.61376,                0.38955,                 1.1377,                0.96542,                 1.1934,                 1.1421,                 1.3203,                 1.1477,             0.00023671,             0.00023671,             0.00023671
                     29,                   1.03,                0.91909,                 1.1737,                 1.0651,                 1.2785,                 1.1469,                0.64167,                0.56886,                0.60925,                0.39036,                 1.1291,                0.96686,                 1.1891,                 1.1394,                 1.3239,                 1.1452,              0.0001817,              0.0001817,              0.0001817
                     30,                 1.0369,                 0.9239,                 1.1811,                 1.0683,                 1.2985,                 1.1536,                0.58297,                0.63044,                0.61467,                0.39572,                 1.1219,                0.95311,                  1.183,                 1.1403,                 1.3029,                 1.1438,             0.00012669,             0.00012669,             0.00012669
