                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8208,                 1.1481,                 1.3294,                 1.9017,                 1.3979,                 1.2938,                0.88827,                0.85494,                 0.9165,                0.54738,                 1.3133,                0.70637,                 1.1069,                 1.3901,                 0.6788,                 1.1467,              0.0006656,              0.0006656,              0.0006656
                      2,                 1.6537,                 0.9248,                 1.2318,                 1.7635,                 1.0684,                 1.2279,                0.90644,                0.86297,                0.92856,                0.58875,                 1.2463,                0.63274,                 1.0798,                 1.3069,                0.57965,                 1.1191,              0.0012883,              0.0012883,              0.0012883
                      3,                 1.5921,                0.86911,                 1.2072,                 1.7021,                  1.002,                  1.212,                0.89971,                0.86728,                0.92941,                0.56288,                 1.3057,                0.66695,                 1.0957,                 1.3821,                0.60686,                 1.1357,               0.001867,               0.001867,               0.001867
                      4,                 1.5538,                0.83577,                 1.1843,                 1.6659,                0.97176,                 1.1939,                0.91359,                0.88329,                0.93852,                0.60322,                 1.2011,                0.62105,                 1.0561,                 1.2745,                0.54858,                 1.1006,               0.001802,               0.001802,               0.001802
                      5,                 1.5166,                0.79717,                 1.1642,                 1.6352,                0.92388,                 1.1798,                0.92874,                0.89342,                0.94986,                0.61788,                 1.1838,                 0.5908,                 1.0473,                 1.2653,                0.49855,                 1.0905,               0.001802,               0.001802,               0.001802
                      6,                 1.4883,                0.77746,                 1.1528,                 1.6094,                0.89759,                 1.1718,                0.92086,                0.89889,                0.95115,                0.62155,                 1.1722,                0.57755,                 1.0366,                 1.2387,                0.51425,                 1.0797,               0.001736,               0.001736,               0.001736
                      7,                 1.4716,                0.76042,                 1.1416,                 1.5957,                0.87348,                 1.1652,                0.92963,                0.90068,                0.95446,                0.62855,                 1.1603,                0.56852,                 1.0299,                 1.2234,                0.50591,                 1.0727,                0.00167,                0.00167,                0.00167
                      8,                 1.4492,                0.74275,                 1.1335,                 1.5689,                 0.8583,                 1.1581,                0.93218,                0.90258,                0.95532,                0.63517,                 1.1454,                0.56382,                 1.0263,                 1.2051,                0.50417,                 1.0648,               0.001604,               0.001604,               0.001604
                      9,                 1.4244,                0.72606,                 1.1211,                 1.5503,                0.83175,                 1.1489,                0.93536,                0.90808,                0.95774,                0.64574,                 1.1265,                0.55809,                 1.0192,                 1.1776,                 0.4869,                 1.0543,               0.001538,               0.001538,               0.001538
                     10,                 1.4195,                0.72068,                 1.1194,                 1.5449,                0.82361,                 1.1468,                0.92557,                 0.9027,                0.95155,                0.63669,                 1.1328,                0.57594,                 1.0228,                 1.1891,                0.51376,                 1.0634,               0.001472,               0.001472,               0.001472
