                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.4447,                0.75623,                 1.0825,                 1.6148,                0.78409,                 1.0949,                0.79888,                0.75322,                0.79856,                0.31429,                  1.975,                0.96116,                  1.318,                 1.9768,                0.99297,                 1.2987,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.4335,                0.75544,                 1.0761,                 1.6035,                0.79417,                 1.0904,                0.81111,                0.77039,                0.80955,                0.31741,                  1.949,                0.99149,                 1.2945,                  2.017,                0.93472,                 1.3215,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.4276,                0.74793,                 1.0892,                 1.5942,                0.77167,                  1.101,                0.78438,                0.74678,                0.78033,                0.29321,                 1.9803,                  1.036,                 1.3123,                 2.0545,                  1.061,                  1.332,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.4209,                0.73691,                 1.0721,                 1.5918,                0.76163,                 1.0845,                0.82015,                0.77468,                0.79782,                 0.3081,                 1.9212,                0.96372,                 1.2993,                 2.0094,                0.91754,                 1.3262,               0.001505,               0.001505,               0.001505
                     28,                 1.4021,                0.73478,                 1.0659,                 1.5691,                0.76549,                  1.082,                0.78555,                0.77897,                0.81128,                0.31209,                 1.9772,                0.96505,                 1.3066,                 2.0737,                0.95651,                 1.3305,              0.0014852,              0.0014852,              0.0014852
                     29,                  1.397,                 0.7345,                 1.0637,                  1.572,                0.77138,                 1.0781,                0.79528,                0.76395,                0.79604,                0.31558,                 1.9499,                0.94946,                 1.3143,                  1.986,                0.95482,                 1.3203,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.3942,                0.71325,                 1.0691,                 1.5616,                0.72578,                 1.0833,                0.82379,                0.77039,                0.80918,                0.31925,                 1.9353,                0.91817,                 1.3075,                 2.0196,                0.90029,                 1.3221,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.3803,                0.71981,                 1.0583,                 1.5647,                0.74994,                  1.077,                0.78559,                0.77897,                0.81729,                0.31686,                 1.9539,                0.94835,                 1.3056,                 2.0088,                0.94611,                 1.3287,              0.0014258,              0.0014258,              0.0014258
                     32,                  1.406,                0.72372,                 1.0718,                 1.5785,                0.74533,                 1.0861,                0.81721,                0.73872,                0.80202,                0.30958,                 1.9972,                0.94012,                 1.3174,                 2.0787,                0.92306,                 1.3299,               0.001406,               0.001406,               0.001406
                     33,                 1.3822,                0.71551,                 1.0568,                 1.5513,                0.74986,                 1.0721,                0.82829,                0.77635,                0.84326,                0.32545,                 1.9806,                0.94313,                 1.3156,                 2.0303,                0.94058,                 1.3274,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.3687,                0.70188,                 1.0487,                 1.5395,                0.71812,                 1.0657,                0.82963,                0.78326,                0.83931,                0.32692,                 1.9477,                0.90541,                 1.3115,                 2.0199,                 0.8697,                 1.3202,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.3538,                0.69486,                 1.0458,                 1.5249,                0.70845,                 1.0633,                0.84691,                0.78349,                0.83448,                0.32623,                 1.9359,                0.93315,                 1.2976,                 1.9956,                0.89655,                  1.322,              0.0013466,              0.0013466,              0.0013466
                     36,                  1.357,                0.68802,                 1.0489,                 1.5309,                0.69921,                 1.0674,                0.83158,                0.80043,                  0.837,                0.32425,                 1.9669,                0.90797,                 1.2946,                 2.0472,                0.86242,                 1.3334,              0.0013268,              0.0013268,              0.0013268
