                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9339,                 3.8076,                 2.0945,                  2.748,                  4.841,                 1.8437,                  0.091,                0.04469,                0.01723,                0.00558,                 2.7754,                 3.6665,                 1.9974,                 2.4324,                 4.1373,                 1.8036,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.9332,                 3.4568,                 2.0238,                 2.7275,                 4.2246,                  1.788,                0.27365,                0.22346,                0.18638,                0.05693,                 2.4057,                 2.3999,                 1.7182,                 2.2785,                 4.1686,                 1.6124,             0.00017644,             0.00017644,             0.00017644
                      3,                 2.4715,                 1.9681,                 1.6331,                 2.3857,                 3.0569,                 1.5116,                0.23685,                0.32597,                0.22143,                0.06951,                  2.409,                 2.5851,                 1.7103,                 2.2134,                 4.4294,                 1.5611,             0.00026891,             0.00026891,             0.00026891
                      4,                 2.3816,                 1.6022,                 1.5672,                 2.2664,                 2.5518,                 1.4794,                0.36955,                0.49721,                0.38662,                0.12885,                   2.18,                 1.8127,                 1.5806,                 2.0442,                 3.3387,                  1.514,             0.00035743,             0.00035743,             0.00035743
                      5,                 2.3495,                 1.4762,                 1.6252,                 2.2514,                 2.3104,                 1.5587,                0.43074,                0.58101,                0.44997,                0.16059,                 2.1911,                 1.8089,                 1.5949,                 2.1158,                 2.1315,                 1.5078,             0.00044198,             0.00044198,             0.00044198
                      6,                 2.3257,                 1.4194,                 1.5622,                 2.2781,                 2.0594,                 1.4697,                0.46071,                0.65922,                0.52921,                0.18386,                 2.1505,                 1.5567,                 1.5487,                 2.1505,                 1.8721,                 1.5055,             0.00052258,             0.00052258,             0.00052258
                      7,                 2.2424,                 1.3832,                 1.5108,                 2.2714,                 1.8727,                 1.4636,                0.61336,                 0.6648,                0.56777,                0.18556,                 2.1558,                  1.445,                 1.5817,                 2.1772,                  1.677,                 1.5392,             0.00059922,             0.00059922,             0.00059922
                      8,                 2.2714,                 1.3444,                 1.5508,                 2.2894,                 1.7625,                 1.4973,                 0.5352,                0.64804,                0.53824,                0.18014,                 2.1102,                 1.3468,                 1.5283,                   2.19,                 1.6753,                  1.515,             0.00067189,             0.00067189,             0.00067189
                      9,                 2.2166,                 1.3406,                 1.5111,                 2.2123,                 1.6667,                  1.437,                0.61062,                0.70086,                0.67067,                0.23886,                 2.0901,                 1.4065,                  1.537,                 2.0513,                 1.5752,                 1.4788,             0.00074061,             0.00074061,             0.00074061
                     10,                  2.267,                 1.4204,                 1.5285,                 2.2523,                 1.6948,                 1.4746,                 0.6206,                0.69832,                0.64399,                0.23612,                 2.0702,                 1.3617,                 1.5154,                 2.0044,                 1.5649,                 1.4804,             0.00080536,             0.00080536,             0.00080536
                     11,                 2.1809,                 1.2858,                 1.4607,                 2.2195,                 1.5031,                 1.4018,                0.61245,                 0.7095,                0.60782,                0.20866,                 2.2511,                 1.5725,                 1.6657,                 2.1858,                  1.653,                 1.5775,             0.00086616,             0.00086616,             0.00086616
                     12,                 2.2342,                 1.3195,                 1.5518,                 2.2308,                 1.5844,                 1.4655,                0.51389,                0.56425,                0.45276,                0.14169,                 2.4539,                 1.6087,                 1.8159,                 2.4165,                 2.0244,                 1.7238,               0.000923,               0.000923,               0.000923
                     13,                 2.2956,                 1.2925,                 1.4979,                 2.3105,                 1.4035,                 1.4345,                0.61765,                0.64246,                0.58267,                0.20516,                 2.2613,                 1.4713,                 1.7147,                 2.2539,                 1.6162,                  1.691,             0.00097587,             0.00097587,             0.00097587
                     14,                 2.1796,                 1.2775,                 1.5655,                 2.2095,                 1.4447,                 1.5232,                0.62633,                0.78212,                0.68683,                0.25256,                 2.1462,                 1.5377,                 1.6001,                 2.1342,                 1.3521,                  1.585,              0.0010248,              0.0010248,              0.0010248
                     15,                 2.2232,                 1.2879,                   1.51,                 2.2856,                 1.4182,                 1.4711,                0.61246,                0.68867,                0.62289,                0.23223,                 2.1475,                 1.6769,                 1.6124,                 2.1666,                 2.0191,                 1.6093,              0.0010697,              0.0010697,              0.0010697
                     16,                 2.2502,                 1.3371,                 1.5656,                 2.2882,                 1.5079,                 1.5452,                0.58385,                0.74302,                0.63656,                0.23446,                 2.1582,                  1.728,                 1.6182,                 2.2082,                 1.9635,                 1.6307,              0.0011107,              0.0011107,              0.0011107
                     17,                 2.1874,                 1.2768,                 1.5793,                 2.2403,                 1.3869,                   1.56,                0.68236,                0.78771,                0.69994,                0.25745,                 2.0968,                 1.2515,                 1.6043,                  2.139,                 1.3105,                 1.6052,              0.0011478,              0.0011478,              0.0011478
                     18,                 2.1941,                 1.2355,                 1.5552,                 2.2158,                  1.421,                 1.5226,                0.70719,                0.80955,                0.69813,                0.25935,                 2.1033,                 1.1788,                  1.617,                 2.1651,                 1.2199,                 1.6294,              0.0011809,              0.0011809,              0.0011809
                     19,                 2.2042,                 1.2234,                 1.5196,                 2.2491,                 1.3545,                 1.4943,                0.67525,                0.78771,                0.70021,                0.26447,                 2.1148,                 1.1583,                 1.6382,                 2.1697,                 1.2232,                  1.661,                0.00121,                0.00121,                0.00121
