                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3179,                0.75006,                 1.1356,                 1.4567,                 0.8406,                 1.1857,                0.89901,                0.74468,                0.81057,                0.39316,                 1.8368,                0.81556,                 1.4428,                 1.9337,                0.83563,                 1.5124,                0.00065,                0.00065,                0.00065
                      2,                  1.263,                0.69356,                 1.1163,                 1.3949,                 0.7193,                 1.1673,                 0.8756,                0.76596,                0.80346,                0.39769,                 1.8296,                0.75781,                 1.3804,                 1.9937,                0.88618,                 1.5082,              0.0013036,              0.0013036,              0.0013036
                      3,                 1.2229,                0.67139,                 1.0872,                  1.357,                0.69688,                 1.1283,                0.90092,                0.77401,                0.86455,                0.40656,                 1.8339,                 0.8029,                 1.3993,                 1.9471,                0.75881,                 1.5004,              0.0019441,              0.0019441,              0.0019441
                      4,                 1.2343,                0.67087,                  1.097,                 1.3576,                0.68472,                 1.1431,                0.92062,                0.74032,                0.81618,                0.39691,                   1.86,                0.86002,                 1.4274,                 1.9197,                0.82828,                 1.4717,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1982,                0.66749,                 1.0918,                 1.3228,                0.67398,                  1.143,                0.88108,                 0.7234,                0.81256,                0.38513,                 1.9015,                0.78064,                 1.4323,                 2.0003,                0.89715,                 1.4696,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1593,                0.63786,                 1.0652,                 1.2906,                 0.6318,                 1.1115,                0.89938,                0.78723,                0.81881,                0.40113,                 1.8426,                0.73439,                 1.4087,                 1.9984,                0.73263,                 1.4627,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1998,                0.63868,                 1.0807,                 1.3323,                 0.6425,                 1.1206,                0.89722,                0.74299,                0.81571,                0.40257,                 1.8038,                0.75927,                 1.3922,                 1.9042,                0.80388,                 1.4554,               0.001901,               0.001901,               0.001901
                      8,                 1.1619,                0.62809,                 1.0616,                 1.2998,                0.63628,                 1.1125,                 0.9122,                0.76596,                0.85199,                0.42763,                  1.794,                0.76388,                 1.3964,                 1.8615,                0.75131,                 1.4565,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1486,                0.62491,                  1.068,                 1.2774,                0.64635,                 1.1195,                0.92041,                0.73823,                0.85048,                0.43594,                 1.7704,                0.75569,                  1.357,                 1.8809,                0.89215,                 1.3554,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1208,                0.60547,                 1.0483,                 1.2412,                0.60772,                 1.0929,                0.81769,                0.80851,                0.81729,                0.39117,                   1.94,                0.77934,                 1.4683,                 1.9875,                0.96945,                 1.5322,              0.0018416,              0.0018416,              0.0018416
